"TenantId"                            , "SourceSystem", "TimeGenerated _UTC_"     , "ResourceId"                          , "OperationName"                       , "OperationVersion", "Category"             , "ResultType", "ResultSignature", "ResultDescription", "DurationMs", "CorrelationId"                       , "Resource"     , "ResourceGroup", "ResourceProvider", "Identity"                             , "Level", "Location", "AdditionalDetails"                                                                                                   , "Id"                                  , "InitiatedBy"                                                                                                                                                                      , "LoggedByService"             , "Result" , "ResultReason", "TargetResources"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , "AADTenantId"                         , "ActivityDisplayName"                 , "ActivityDateTime _UTC_"  , "AADOperationType"                    , "Type"      , "Theme"
"76c726c4-2be1-43bc-89d7-c17827c51976", "AzureAD"     , "2025-03-29 13:14:25.0000", "55af54b6-c5cc-435a-a775-4fcc7c1ec20b", "Update Conditional Access Policy"    , "1"               , "DirectoryManagement"  , ""          , "NONE"           , ""                 , "316"       , "8a5160e7-359c-44bf-ae66-290e68e710e1", "rg-identity"  , "rg-identity"  , ""                , "AuthNinja"                            , "4"    , "FR"      , "[{'key': 'UserType', 'value': 'Guest'}]"                                                                             , "c85de9db-77b1-4e94-a4a8-a59f5689a93b", "{'app': {'displayName': 'AuthNinja', 'appId': None, 'servicePrincipalId': '6bc89df6-0bfb-4968-9626-bd6a34ccd8fb', 'servicePrincipalName': None}}"                                 , "AAD Exchange"                , "FAILURE", ""            , "[{'id': 'a32e2cf1-7371-4f03-9e8e-57ef1329eca3', 'displayName': None, 'type': 'User', 'userPrincipalName': 'amy.elliott@adatum.org', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""amy.elliott@adatum.org""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""amy.elliott""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""amy.elliott""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.106203Z""]'}], 'administrativeUnits': []}]"                                                                                                                                      , "fc9abe38-37ca-420b-ac77-7fd3b8c76d00", "Update Conditional Access Policy"    , "2025-03-29 13:14:25.0000", "Update Conditional Access Policy"    , "Audit Logs", "Tenant Configuration Change"
"75d5d177-7346-4510-8f30-fc0fab0fe43f", "AzureAD"     , "2025-03-29 13:15:25.0000", "b89a4e8d-dbfe-4b7a-891a-d08688d6ea18", "Removeuser"                          , "1"               , "GroupManagement"      , ""          , "SUCCESS"        , ""                 , "297"       , "0fc7b879-2935-44a9-9028-ee2bc269ad35", "rg-core"      , "rg-core"      , ""                , "AuthNinja"                            , "4"    , "DE"      , "[{'key': 'User-Agent', 'value': 'Mozilla/5.0'}]"                                                                     , "b56424a1-d535-43e1-8f5a-89fb4a0d4be6", "{'user': {'id': '2d813e77-0c95-438f-aa4b-035cde52862c', 'displayName': None, 'userPrincipalName': 'michael.brown@adatum.org', 'ipAddress': '52.55.84.163', 'roles': []}}"         , "Invited Users"               , "SUCCESS", ""            , "[{'id': '50c892ac-2bda-4c5f-a36f-1f3641499950', 'displayName': None, 'type': 'User', 'userPrincipalName': 'rhonda.cummings@contoso.com', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""rhonda.cummings@contoso.com""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""rhonda.cummings""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""rhonda.cummings""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.304610Z""]'}], 'administrativeUnits': []}]"                                                                                                                    , "429992a4-e7b9-4a65-bcec-356f9adeb8db", "Remove user"                         , "2025-03-29 13:15:25.0000", "Removeuser"                          , "Audit Logs", "Normal"
"5acc52e1-d307-4fbe-bcb1-3d72d2281287", "AzureAD"     , "2025-03-29 13:21:25.0000", "bdf64563-8fa1-4370-a4bf-ca14ec550a2f", "Remove member from group"            , "1"               , "ApplicationManagement", ""          , "NONE"           , ""                 , "402"       , "83e8d798-3fd3-4ef2-81d7-902c083c1b75", "rg-monitoring", "rg-monitoring", ""                , "Azure MFA StrongAuthenticationService", "4"    , "GB"      , "[{'key': 'UserType', 'value': 'Member'}]"                                                                            , "62eb727a-76a4-40fa-b58a-d4c09132a619", "{'user': {'id': '19ff6061-39bb-42b9-896f-c7cf9ce1589a', 'displayName': None, 'userPrincipalName': 'elizabeth.brown@adatum.org', 'ipAddress': '211.133.79.155', 'roles': []}}"     , "Invited Users"               , "FAILURE", ""            , "[{'id': '2bfe0fae-120a-4ad8-b064-d9dccafb5ea0', 'displayName': None, 'type': 'User', 'userPrincipalName': 'michael.brown@adatum.org', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""michael.brown@adatum.org""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""michael.brown""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""michael.brown""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.118818Z""]'}, {'displayName': 'GroupMembershipChange', 'oldValue': '[]', 'newValue': '[""Global Administrator""]'}], 'administrativeUnits': []}]"                        , "761ebf00-6e8b-40eb-8354-00c8ae7d130b", "Remove member from group"            , "2025-03-29 13:21:25.0000", "Remove member from group"            , "Audit Logs", "Lateral Movement"
"3214172c-f251-4da0-b408-4e6f56aa2aed", "AzureAD"     , "2025-03-29 13:21:25.0000", "d7155363-b2aa-4946-94ce-1dc752d4e0fc", "Add member to group"                 , "1"               , "ApplicationManagement", ""          , "NONE"           , ""                 , "301"       , "f2ee60f5-be48-47e8-9b08-df2db21b9cc0", "rg-identity"  , "rg-identity"  , ""                , "AuthNinja"                            , "4"    , "US"      , "[{'key': 'UserType', 'value': 'Member'}]"                                                                            , "6fdb1488-b59f-4e3f-94e2-ee733bc6db6e", "{'user': {'id': '35f336ac-c854-47c1-8bea-a2178c26285e', 'displayName': None, 'userPrincipalName': 'eric.krueger@fabrikam.net', 'ipAddress': '83.63.46.58', 'roles': []}}"         , "Azure AD Identity Protection", "FAILURE", ""            , "[{'id': '1ed1448f-2db4-44ba-afb5-2a3394de3214', 'displayName': None, 'type': 'User', 'userPrincipalName': 'elizabeth.brown@adatum.org', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""elizabeth.brown@adatum.org""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""elizabeth.brown""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""elizabeth.brown""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.124185Z""]'}, {'displayName': 'GroupMembershipChange', 'oldValue': '[]', 'newValue': '[""Application Administrator""]'}], 'administrativeUnits': []}]"           , "552464f5-3c07-4e40-8ac5-49433d2a241a", "Add member to group"                 , "2025-03-29 13:21:25.0000", "Add member to group"                 , "Audit Logs", "Lateral Movement"
"1c51daa4-41e9-451b-a28f-6fdbbe6716e2", "AzureAD"     , "2025-03-29 13:34:25.0000", "282b9e81-da7f-4e8b-a019-d26c180006a9", "PasswordChanged"                     , "1"               , "DirectoryManagement"  , ""          , "SUCCESS"        , ""                 , "438"       , "137fff0e-cf59-4547-b58c-8592a8ac0c65", "rg-network"   , "rg-network"   , ""                , "Microsoft B2B Admin Worker"           , "4"    , "GB"      , "[{'key': 'User-Agent', 'value': 'AzureAD GraphExplorer'}]"                                                           , "2b6eaecf-b54a-4e34-bb9a-27b418fdf3c5", "{'user': {'id': 'f1bf8e97-2c80-4eba-b95d-309b5072c28d', 'displayName': None, 'userPrincipalName': 'linda.hicks@adatum.org', 'ipAddress': '253.45.54.96', 'roles': []}}"           , "Azure AD Identity Protection", "SUCCESS", ""            , "[{'id': 'e34e1730-66c0-43c1-ac0a-9c9cb9c00a19', 'displayName': None, 'type': 'User', 'userPrincipalName': 'rachel.frey@contoso.com', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""rachel.frey@contoso.com""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""rachel.frey""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""rachel.frey""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.271503Z""]'}], 'administrativeUnits': []}]"                                                                                                                                    , "18568fba-65de-4f6b-8f9f-f0ddd7ca4303", "PasswordChanged"                     , "2025-03-29 13:34:25.0000", "PasswordChanged"                     , "Audit Logs", "Normal"
"9f224277-9637-4f58-96ca-8d2b97fef1eb", "AzureAD"     , "2025-03-29 13:54:25.0000", "e3c1a650-e3fe-4728-ba99-f97a04a25af3", "Add member to role"                  , "1"               , "UserManagement"       , ""          , "NONE"           , ""                 , "344"       , "5edbe6a2-20f9-48fc-ac29-b2bf0bbd92ce", "rg-identity"  , "rg-identity"  , ""                , "Azure MFA StrongAuthenticationService", "4"    , "CA"      , "[]"                                                                                                                  , "44c42347-2a3d-4d77-9680-d6456a25dbab", "{'user': {'id': 'a155dbf3-1848-4776-a47f-83c775593980', 'displayName': None, 'userPrincipalName': 'ronald.hamilton@adatum.org', 'ipAddress': '112.249.112.139', 'roles': []}}"    , "Azure AD Identity Protection", "FAILURE", ""            , "{""id"":""1bd7568f-59d7-42ab-b9df-72eb8f4570cf"",""displayName"":null,""type"":""ServicePrincipal"",""userPrincipalName"":""rhonda.cummings@contoso.com"",""modifiedProperties"":[{""displayName"":""RoleAssigned"",""oldValue"":""[]"",""newValue"":""[\""Privileged Role Administrator\""]""}],""administrativeUnits"":[]}"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , "a4431c2f-576e-41ab-92c0-fb5904dce2d3", "Add member to role"                  , "2025-03-29 13:54:25.0000", "Add member to role"                  , "Audit Logs", "Privilege Escalation via Role Assignments"
"b041bc33-d670-43c6-a68a-2ebf509ba3fc", "AzureAD"     , "2025-03-29 13:58:25.0000", "3cce4aa8-8538-44aa-844c-9e086ff9d4cd", "UserLoggedOut"                       , "1"               , "GroupManagement"      , ""          , "SUCCESS"        , ""                 , "192"       , "936712b0-769e-4099-9193-8e44e51f3e76", "rg-core"      , "rg-core"      , ""                , "AuthNinja"                            , "4"    , "GB"      , "[{'key': 'UserType', 'value': 'Member'}]"                                                                            , "45c7b500-6458-40c9-a207-52c2114cbcbc", "{'app': {'displayName': 'Microsoft B2B Admin Worker', 'appId': None, 'servicePrincipalId': '4c20a6a4-ca31-4c18-8f57-a7326977c027', 'servicePrincipalName': None}}"                , "AAD Exchange"                , "SUCCESS", ""            , "[{'id': '2bead299-39c7-456d-92bb-5415b9c6ddea', 'displayName': None, 'type': 'User', 'userPrincipalName': 'sean.miller@contoso.com', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""sean.miller@contoso.com""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""sean.miller""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""sean.miller""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.155403Z""]'}], 'administrativeUnits': []}]"                                                                                                                                    , "76ac01e4-7dc0-48aa-83ad-e4d870be27b5", "UserLoggedOut"                       , "2025-03-29 13:58:25.0000", "UserLoggedOut"                       , "Audit Logs", "Normal"
"7452fe5e-b5ed-47ce-9a11-6cbaa9f6aa4f", "AzureAD"     , "2025-03-29 14:16:25.0000", "4b43c714-9f77-4234-b5ad-733fdf6150f0", "PasswordChanged"                     , "1"               , "ApplicationManagement", ""          , "SUCCESS"        , ""                 , "255"       , "e473f26e-ee00-4ae4-b22d-e58420579164", "rg-network"   , "rg-network"   , ""                , "Microsoft B2B Admin Worker"           , "4"    , "US"      , "[{'key': 'UserType', 'value': 'Member'}]"                                                                            , "be7d4a7e-ffb6-4e50-a0b5-349a349e4955", "{'app': {'displayName': 'AuthNinja', 'appId': None, 'servicePrincipalId': 'e5c2e37d-e30b-45dc-be0e-0393dca9a0d7', 'servicePrincipalName': None}}"                                 , "Invited Users"               , "SUCCESS", ""            , "[{'id': '6e5b46a1-08eb-4df2-b1b1-58d14d584836', 'displayName': None, 'type': 'User', 'userPrincipalName': 'melanie.estrada@adatum.org', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Guest""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""melanie.estrada@adatum.org""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""melanie.estrada""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""melanie.estrada""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.210861Z""]'}], 'administrativeUnits': []}]"                                                                                                                       , "28a148a2-5df5-427c-848b-9843d809897b", "PasswordChanged"                     , "2025-03-29 14:16:25.0000", "PasswordChanged"                     , "Audit Logs", "Normal"
"203a596e-c22d-4f31-906d-ad2fced197c1", "AzureAD"     , "2025-03-29 14:44:25.0000", "4c983691-c294-4ea0-a81c-d7fed1f9513e", "UserLoggedOut"                       , "1"               , "ApplicationManagement", ""          , "SUCCESS"        , ""                 , "131"       , "a26911cb-126a-4abf-8f9f-b3c213ace497", "rg-identity"  , "rg-identity"  , ""                , "Azure MFA StrongAuthenticationService", "4"    , "UA"      , "[{'key': 'UserType', 'value': 'Member'}, {'key': 'User-Agent', 'value': 'Mozilla/5.0'}]"                             , "95fd47cd-8937-4004-8473-00a8282356f6", "{'user': {'id': 'c4c03a30-d596-4c62-bc0d-90a02d9cb4c3', 'displayName': None, 'userPrincipalName': 'linda.hicks@adatum.org', 'ipAddress': '12.34.174.55', 'roles': []}}"           , "Core Directory"              , "SUCCESS", ""            , "[{'id': '4cf35f52-5843-4c2b-81d7-42de47bad53c', 'displayName': None, 'type': 'User', 'userPrincipalName': 'stephanie.jackson@fabrikam.net', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""stephanie.jackson@fabrikam.net""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""stephanie.jackson""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""stephanie.jackson""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.272388Z""]'}], 'administrativeUnits': []}]"                                                                                                          , "35e5d30c-8017-49fb-b6dc-799347d1898a", "UserLoggedOut"                       , "2025-03-29 14:44:25.0000", "UserLoggedOut"                       , "Audit Logs", "Normal"
"65b7c202-b8dc-4fe5-9e75-7e06b5f454bc", "AzureAD"     , "2025-03-29 14:56:25.0000", "5dfa0ba3-a3bc-4d46-82cf-ad9f7d29943c", "UserLoggedIn"                        , "1"               , "ApplicationManagement", ""          , "SUCCESS"        , ""                 , "173"       , "eba4e660-8839-4c5b-94d6-d3202fd52163", "rg-monitoring", "rg-monitoring", ""                , "Microsoft B2B Admin Worker"           , "4"    , "NG"      , "[]"                                                                                                                  , "4c487c29-0dad-4444-a849-bf1d5749fa08", "{'user': {'id': '2fd7fa5e-02cc-4339-9a6d-9152be60316a', 'displayName': None, 'userPrincipalName': 'eric.krueger@fabrikam.net', 'ipAddress': '130.208.104.93', 'roles': []}}"      , "Core Directory"              , "SUCCESS", ""            , "[{'id': 'a63d329b-c0fc-4337-b5ff-2a05a9df892d', 'displayName': None, 'type': 'User', 'userPrincipalName': 'elizabeth.brown@adatum.org', 'modifiedProperties': [{'displayName': 'AccountEnabled', 'oldValue': '[]', 'newValue': '[true]'}, {'displayName': 'UserType', 'oldValue': '[]', 'newValue': '[""Member""]'}, {'displayName': 'UserPrincipalName', 'oldValue': '[]', 'newValue': '[""elizabeth.brown@adatum.org""]'}, {'displayName': 'DisplayName', 'oldValue': '[]', 'newValue': '[""elizabeth.brown""]'}, {'displayName': 'CreationType', 'oldValue': '[]', 'newValue': '[""Invitation""]'}, {'displayName': 'MailNickname', 'oldValue': '[]', 'newValue': '[""elizabeth.brown""]'}, {'displayName': 'StsRefreshTokensValidFrom', 'oldValue': '[]', 'newValue': '[""2025-04-29T11:55:25.222686Z""]'}], 'administrativeUnits': []}]"                                                                                                                      , "0e04d9b8-13cc-474e-a5a0-191e5cf5779d", "UserLoggedIn"                        , "2025-03-29 14:56:25.0000", "UserLoggedIn"                        , "Audit Logs", "Normal"
